iter	RMSE
505	0.1495936804
506	0.1495936666
507	0.149593662
508	0.1495936197
509	0.1495936072
510	0.1495936047
511	0.1495935974
512	0.1495935873
513	0.1495935857
514	0.1495935825
515	0.1495935709
516	0.1495935579
517	0.1495935459
518	0.1495935271
519	0.1495935111
520	0.1495935094
521	0.1495935044
522	0.1495934885
523	0.1495934805
524	0.14959348
525	0.1495934715
526	0.1495934552
527	0.149593446
528	0.1495934417
529	0.149593425
530	0.1495934129
531	0.1495934115
532	0.1495934039
533	0.1495934023
534	0.1495933981
535	0.1495933851
536	0.149593384
537	0.149593361
538	0.1495933331
539	0.1495933216
540	0.149593316
541	0.1495933054
542	0.149593287
543	0.1495932816
544	0.1495932724
545	0.1495932703
546	0.1495932652
547	0.1495932635
548	0.1495932491
549	0.1495932414
550	0.1495932373
551	0.1495932166
552	0.1495932087
553	0.1495932064
554	0.1495932024
555	0.149593196
556	0.1495931921
557	0.1495931762
558	0.1495931691
559	0.1495931638
560	0.1495931574
561	0.1495931513
562	0.1495931495
563	0.1495931409
564	0.1495931373
565	0.1495931358
566	0.1495931227
567	0.1495931204
568	0.1495930326
569	0.1495930261
570	0.1495930238
571	0.1495930159
572	0.1495930027
573	0.1495929833
574	0.1495929778
575	0.1495929597
576	0.1495929559
577	0.1495929472
578	0.1495929389
579	0.149592938
580	0.1495929311
581	0.1495929285
582	0.1495929213
583	0.1495928652
584	0.1495928525
585	0.149592795
586	0.1495927818
587	0.149592779
588	0.1495927747
589	0.1495927411
590	0.1495927388
591	0.1495927278
592	0.1495927232
593	0.1495927124
594	0.1495927107
595	0.1495926804
596	0.1495926796
597	0.1495926754
598	0.1495926687
599	0.1495926654
600	0.1495926648
601	0.1495926567
602	0.149592646
603	0.1495926359
604	0.1495926333
605	0.1495926307
606	0.14959263
607	0.1495926219
608	0.1495926155
609	0.1495926135
610	0.1495926023
611	0.1495926012
612	0.1495926004
613	0.1495925846
614	0.1495925742
615	0.1495925676
616	0.1495925639
617	0.1495925626
618	0.149592561
619	0.1495925404
620	0.149592539
621	0.1495925254
622	0.1495925225
623	0.1495925134
624	0.1495925091
625	0.1495925051
626	0.149592505
627	0.1495925038
628	0.1495925018
629	0.1495925011
630	0.1495925
631	0.149592497
632	0.1495924879
633	0.1495924697
634	0.149592464
635	0.1495924562
636	0.1495924521
637	0.1495924469
638	0.1495924439
639	0.1495924438
640	0.1495924415
641	0.1495924234
642	0.1495923907
643	0.1495923883
644	0.1495923836
645	0.1495923783
646	0.1495923733
647	0.1495923708
648	0.1495923698
649	0.1495923683
650	0.1495923631
651	0.1495923617
652	0.1495923597
653	0.1495923567
654	0.1495923557
655	0.1495923504
656	0.1495923479
657	0.1495923452
658	0.1495923443
659	0.1495923431
660	0.149592332
661	0.1495923258
662	0.1495923229
663	0.1495923212
664	0.1495923176
665	0.149592315
666	0.1495923068
667	0.1495923
668	0.1495922873
669	0.1495922618
670	0.1495922585
671	0.1495922539
672	0.1495922441
673	0.1495922427
674	0.1495922411
675	0.1495922366
676	0.1495922335
677	0.1495922323
678	0.1495922172
679	0.1495922092
680	0.1495922085
681	0.1495922064
682	0.1495922033
683	0.149592199
684	0.1495921963
685	0.1495921781
686	0.1495921703
687	0.1495921671
688	0.1495921627
689	0.1495921623
690	0.1495921602
691	0.1495921571
692	0.1495921544
693	0.1495921515
694	0.1495921494
695	0.1495921492
696	0.1495921467
697	0.1495921351
698	0.1495921339
699	0.1495921264
700	0.1495921228
701	0.1495921208
702	0.1495921187
703	0.1495921174
704	0.1495921152
705	0.1495921145
706	0.1495921136
707	0.1495921112
708	0.1495921092
709	0.1495921089
710	0.149592108
711	0.1495921073
712	0.1495921058
713	0.1495921038
714	0.1495921022
715	0.1495920986
716	0.1495920981
717	0.1495920972
718	0.1495920928
719	0.1495920887
720	0.1495920883
721	0.1495920846
722	0.1495920828
723	0.1495920821
724	0.1495920801
725	0.1495920793
726	0.1495920781
727	0.1495920765
728	0.1495920753
729	0.1495920748
730	0.1495920732
731	0.1495920711
732	0.1495920706
733	0.14959207
734	0.1495920663
735	0.1495920607
736	0.1495920586
737	0.1495920571
738	0.149592048
739	0.149592047
740	0.1495920439
741	0.1495920437
742	0.1495920434
743	0.1495920429
744	0.1495920399
745	0.1495920365
746	0.1495920352
747	0.1495920349
748	0.1495920326
749	0.149592032
750	0.1495920306
751	0.1495920278
752	0.1495920267
753	0.1495920229
754	0.1495920216
755	0.1495920206
756	0.1495920186
757	0.1495920182
758	0.1495920173
759	0.1495920162
760	0.1495920136
761	0.1495920127
762	0.1495920118
763	0.1495920114
764	0.1495920096
765	0.1495920086
766	0.1495920082
767	0.1495920036
768	0.1495920033
769	0.149592003
770	0.1495920024
771	0.1495920011
772	0.1495919984
773	0.1495919958
774	0.1495919951
775	0.1495919938
776	0.1495919935
777	0.1495919932
778	0.1495919916
779	0.149591991
780	0.1495919904
781	0.1495919829
782	0.1495919827
783	0.1495919823
784	0.1495919806
785	0.1495919757
786	0.1495919749
787	0.1495919581
788	0.1495919568
789	0.1495919566
790	0.1495919559
791	0.1495919494
792	0.149591949
793	0.1495919473
794	0.1495919468
795	0.1495919454
796	0.1495919453
797	0.1495919447
798	0.149591944
799	0.149591942
800	0.1495919411
801	0.14959194
802	0.1495919375
803	0.1495919368
804	0.1495919356
805	0.1495919344
806	0.1495919326
807	0.1495919275
808	0.1495919269
809	0.1495919267
810	0.1495919255
811	0.1495919244
812	0.1495919241
813	0.1495919234
814	0.1495919223
815	0.1495919217
816	0.1495919214
817	0.1495919198
818	0.1495919194
819	0.1495919188
820	0.1495919183
821	0.1495919163
822	0.1495919124
823	0.1495919115
824	0.1495919106
825	0.1495919045
826	0.1495919039
827	0.1495919019
828	0.1495918986
829	0.1495918967
830	0.1495918952
831	0.1495918942
832	0.1495918929
833	0.149591892
834	0.1495918913
835	0.1495918901
836	0.1495918862
837	0.1495918855
838	0.1495918849
839	0.1495918841
840	0.1495918829
841	0.149591882
842	0.1495918802
843	0.1495918767
844	0.1495918763
845	0.1495918755
846	0.1495918741
847	0.149591873
848	0.1495918712
849	0.1495918707
850	0.1495918704
851	0.14959187
852	0.1495918695
853	0.1495918694
854	0.1495918687
855	0.1495918686
856	0.1495918679
857	0.1495918671
858	0.1495918555
859	0.1495918546
860	0.1495918539
861	0.1495918536
862	0.1495918511
863	0.1495918502
864	0.1495918438
865	0.1495918435
866	0.1495918428
867	0.1495918423
868	0.1495918418
869	0.1495918416
870	0.1495918414
871	0.1495918401
872	0.1495918397
873	0.1495918385
874	0.1495918384
875	0.1495918382
876	0.1495918367
877	0.1495918364
878	0.1495918337
879	0.149591833
880	0.1495918327
881	0.1495918312
882	0.1495918308
883	0.1495918298
884	0.1495918293
885	0.149591829
886	0.1495918286
887	0.1495918284
888	0.149591828
889	0.1495918254
890	0.1495918249
891	0.1495918227
892	0.1495918224
893	0.1495918222
894	0.1495918215
895	0.1495918213
896	0.1495918208
897	0.1495918201
898	0.14959182
899	0.1495918199
900	0.1495918155
901	0.1495918145
902	0.1495918121
903	0.1495918116
904	0.1495918107
905	0.1495918103
906	0.1495918102
907	0.1495918093
908	0.1495918088
909	0.1495918081
910	0.1495918078
911	0.1495918067
912	0.149591806
913	0.1495918055
914	0.1495918054
915	0.1495918051
916	0.1495918046
917	0.1495918023
918	0.1495918022
919	0.1495918018
920	0.1495918011
921	0.1495918007
922	0.1495918004
923	0.1495918001
924	0.1495917998
925	0.1495917987
926	0.1495917984
927	0.1495917983
928	0.1495917979
929	0.1495917974
930	0.1495917966
931	0.1495917966
932	0.1495917963
933	0.1495917951
934	0.1495917922
935	0.1495917914
936	0.1495917911
937	0.1495917908
938	0.1495917906
939	0.1495917905
940	0.1495917899
941	0.1495917891
942	0.1495917889
943	0.1495917887
944	0.1495917814
945	0.1495917812
946	0.1495917805
947	0.1495917804
948	0.14959178
949	0.1495917769
950	0.149591773
951	0.1495917728
952	0.1495917728
953	0.1495917727
954	0.1495917723
955	0.1495917715
956	0.1495917713
957	0.1495917711
958	0.1495917686
959	0.1495917677
960	0.1495917655
961	0.1495917653
962	0.1495917648
963	0.1495917634
964	0.1495917629
965	0.1495917627
966	0.1495917622
967	0.1495917616
968	0.1495917615
969	0.149591761
970	0.1495917588
971	0.1495917587
972	0.1495917581
973	0.149591758
974	0.1495917577
975	0.1495917562
976	0.1495917554
977	0.1495917552
978	0.1495917546
979	0.1495917544
980	0.1495917543
981	0.1495917531
982	0.149591753
983	0.1495917525
984	0.1495917525
985	0.1495917522
986	0.1495917521
987	0.1495917519
988	0.1495917518
989	0.1495917516
990	0.1495917515
991	0.1495917508
992	0.1495917504
993	0.1495917503
994	0.1495917501
995	0.1495917495
996	0.1495917484
997	0.1495917476
998	0.1495917475
999	0.1495917473
