iter	RMSE
0	0.1521741138
1	0.1521013212
2	0.1520763531
3	0.1519641206
4	0.151880248
5	0.1518682856
6	0.1518593525
7	0.1518287372
8	0.1517969082
9	0.151771692
10	0.1517068877
11	0.1516652053
12	0.1516618217
13	0.1516407089
14	0.1516005656
15	0.1515627762
16	0.1515129174
17	0.1515099128
18	0.1514973642
19	0.1514810976
20	0.1514644364
21	0.1514630914
22	0.1514438168
23	0.1514252209
24	0.1514151547
25	0.151406914
26	0.1513979421
27	0.1513605234
28	0.151287096
29	0.1512311235
30	0.1512116612
31	0.1511787551
32	0.1511652898
33	0.1511529864
34	0.1511515855
35	0.1511423699
36	0.1510919808
37	0.1510400973
38	0.150998881
39	0.1509814543
40	0.1509007964
41	0.150853925
42	0.1507776645
43	0.1507473747
44	0.1506937998
45	0.1506668046
46	0.1506190888
47	0.1505813786
48	0.150551083
49	0.1505315632
50	0.1505028592
51	0.1504698268
52	0.15045253
53	0.1504149483
54	0.15040543
55	0.1503796859
56	0.1503333088
57	0.1503224475
58	0.1502856647
59	0.1502628887
60	0.1502483786
61	0.1502284445
62	0.1501857005
63	0.1501535425
64	0.1501378894
65	0.150115476
66	0.1500931583
67	0.1500856198
68	0.1500592883
69	0.1500515004
70	0.1500327538
71	0.1500179743
72	0.1500122389
73	0.1500047952
74	0.1499917837
75	0.1499734149
76	0.1499630429
77	0.1499426129
78	0.1499296489
79	0.1499204959
80	0.1499131226
81	0.1499026386
82	0.1498924024
83	0.1498870785
84	0.14988327
85	0.1498741226
86	0.1498664504
87	0.1498614773
88	0.149853756
89	0.1498438423
90	0.1498396269
91	0.1498285364
92	0.1498205167
93	0.1498124963
94	0.1498103582
95	0.1498069526
96	0.1498040477
97	0.1497995356
98	0.1497981856
99	0.1497917816
100	0.1497833245
101	0.14977708
102	0.1497745517
103	0.1497724409
104	0.149770625
105	0.1497644398
106	0.149758618
107	0.1497567001
108	0.149753256
109	0.1497479373
110	0.1497452831
111	0.1497427837
112	0.1497405919
113	0.1497364831
114	0.149733614
115	0.1497252481
116	0.1497207034
117	0.1497156264
118	0.1497138735
119	0.1497130933
120	0.1497103384
121	0.1497084017
122	0.1497064622
123	0.14970449
124	0.1497013956
125	0.149700419
126	0.1496953905
127	0.1496940145
128	0.1496917784
129	0.1496902447
130	0.1496847917
131	0.1496807643
132	0.1496785118
133	0.1496759157
134	0.1496734474
135	0.149672851
136	0.1496687362
137	0.1496661836
138	0.1496657246
139	0.1496650782
140	0.1496633267
141	0.1496620514
142	0.149661002
143	0.1496596502
144	0.149658914
145	0.1496582153
146	0.1496559595
147	0.1496552608
148	0.1496542594
149	0.14965176
150	0.1496511325
151	0.1496505778
152	0.149649099
153	0.1496475073
154	0.149646025
155	0.1496451939
156	0.1496445423
157	0.1496437156
158	0.149641704
159	0.1496409262
160	0.1496406062
161	0.1496396514
162	0.1496389708
163	0.1496380428
164	0.1496374872
165	0.1496368698
166	0.1496355768
167	0.1496346137
168	0.1496342625
169	0.149632025
170	0.1496317232
171	0.1496311141
172	0.1496304648
173	0.1496298229
174	0.1496295874
175	0.1496293473
176	0.1496276802
177	0.149627083
178	0.1496265001
179	0.1496255888
180	0.1496254473
181	0.1496251984
182	0.1496248845
183	0.1496244808
184	0.1496241816
185	0.1496239796
186	0.1496238772
187	0.14962365
188	0.149623088
189	0.14962299
190	0.1496225284
191	0.1496222601
192	0.1496221643
193	0.149621745
194	0.1496213063
195	0.1496209208
196	0.149620145
197	0.1496196005
198	0.1496191398
199	0.1496187962
200	0.1496184125
201	0.149617978
202	0.1496175422
203	0.1496173596
204	0.1496170278
205	0.1496169264
206	0.1496168627
207	0.149616764
208	0.1496164998
209	0.1496160698
210	0.1496149548
211	0.1496148447
212	0.1496147024
213	0.1496146163
214	0.1496143484
215	0.1496142635
216	0.1496141291
217	0.1496140425
218	0.1496139575
219	0.1496135979
220	0.149613316
221	0.1496131209
222	0.1496129318
223	0.1496125114
224	0.1496123131
225	0.1496120748
226	0.1496118434
227	0.1496116535
228	0.1496115417
229	0.1496114443
230	0.1496110718
231	0.1496107
232	0.1496104707
233	0.1496104183
234	0.1496102981
235	0.1496100472
236	0.1496096472
237	0.1496094695
238	0.1496092364
239	0.1496089973
240	0.1496084059
241	0.1496083183
242	0.1496081201
243	0.149607858
244	0.149607804
245	0.1496076778
246	0.1496074006
247	0.1496073199
248	0.1496069979
249	0.1496068554
250	0.1496067005
251	0.149606597
252	0.1496065481
253	0.1496062836
254	0.1496061265
255	0.1496057902
256	0.1496057631
257	0.1496056446
258	0.1496056043
259	0.1496055311
260	0.1496054862
261	0.1496054469
262	0.1496050851
263	0.1496049538
264	0.1496047854
265	0.1496046709
266	0.1496046002
267	0.1496045172
268	0.1496043337
269	0.1496041182
270	0.1496039783
271	0.1496038772
272	0.1496037893
273	0.1496035876
274	0.1496035285
275	0.1496034932
276	0.1496034374
277	0.1496033594
278	0.1496032361
279	0.1496030385
280	0.1496028108
281	0.1496027717
282	0.1496027483
283	0.149602427
284	0.149602251
285	0.1496021517
286	0.1496021265
287	0.1496020148
288	0.1496019842
289	0.1496019629
290	0.149601816
291	0.1496015933
292	0.1496014059
293	0.1496011655
294	0.1496010234
295	0.1496009393
296	0.1496009119
297	0.1496008545
298	0.1496008306
299	0.1496008147
300	0.1496007468
301	0.1496006029
302	0.1496005337
303	0.1496004771
304	0.1496004389
305	0.149600403
306	0.1496002082
307	0.1496000598
308	0.1496000458
309	0.1495999633
310	0.1495999303
311	0.149599897
312	0.1495998847
313	0.1495996731
314	0.1495995611
315	0.1495995096
316	0.1495994707
317	0.1495994139
318	0.149599367
319	0.1495993344
320	0.1495992595
321	0.1495992355
322	0.1495991194
323	0.1495990517
324	0.1495990104
325	0.1495989391
326	0.1495989087
327	0.1495987887
328	0.1495987544
329	0.1495987485
330	0.1495987333
331	0.1495987036
332	0.1495985632
333	0.1495985247
334	0.1495984255
335	0.1495983814
336	0.1495983265
337	0.149598257
338	0.1495982355
339	0.1495981824
340	0.1495981526
341	0.1495981277
342	0.1495980831
343	0.1495978334
344	0.1495977959
345	0.1495977601
346	0.1495977388
347	0.1495976483
348	0.1495975893
349	0.1495974984
350	0.1495974659
351	0.1495973809
352	0.1495973733
353	0.1495973282
354	0.1495972982
355	0.1495972291
356	0.1495972076
357	0.149597159
358	0.1495971468
359	0.1495970972
360	0.1495970724
361	0.1495970216
362	0.1495969616
363	0.149596944
364	0.1495969281
365	0.149596919
366	0.1495967978
367	0.1495967682
368	0.1495967623
369	0.1495967457
370	0.1495967065
371	0.1495966861
372	0.1495966465
373	0.1495966415
374	0.1495966019
375	0.1495965407
376	0.1495965294
377	0.1495965178
378	0.1495965033
379	0.1495964287
380	0.1495963869
381	0.1495963547
382	0.1495963354
383	0.1495962212
384	0.1495962188
385	0.1495962102
386	0.1495961536
387	0.149596123
388	0.1495960651
389	0.1495960262
390	0.1495960133
391	0.1495960049
392	0.1495960004
393	0.1495959818
394	0.1495959161
395	0.1495958849
396	0.1495957754
397	0.1495956913
398	0.1495956652
399	0.1495956286
400	0.1495956054
401	0.1495955838
402	0.149595565
403	0.1495955235
404	0.1495955076
405	0.1495954913
406	0.1495954767
407	0.1495954516
408	0.1495954343
409	0.149595423
410	0.1495954175
411	0.1495954047
412	0.1495953862
413	0.1495953779
414	0.1495953739
415	0.1495953633
416	0.1495953219
417	0.1495952108
418	0.1495952079
419	0.1495951827
420	0.1495951737
421	0.1495951201
422	0.149595116
423	0.1495950947
424	0.1495950697
425	0.1495950152
426	0.1495949965
427	0.1495949861
428	0.149594975
429	0.1495949621
430	0.149594942
431	0.1495949283
432	0.1495949126
433	0.1495948921
434	0.1495948799
435	0.1495948659
436	0.1495948092
437	0.1495947992
438	0.149594734
439	0.1495947251
440	0.1495946964
441	0.1495946666
442	0.1495946456
443	0.1495946368
444	0.1495946285
445	0.1495945866
446	0.1495945636
447	0.1495945545
448	0.1495945449
449	0.1495945338
450	0.1495944954
451	0.1495944787
452	0.1495944775
453	0.1495944431
454	0.149594439
455	0.1495944226
456	0.1495944107
457	0.1495943978
458	0.1495943834
459	0.1495943599
460	0.1495943492
461	0.1495943198
462	0.1495942877
463	0.149594282
464	0.1495942505
465	0.1495942419
466	0.1495942389
467	0.1495942303
468	0.1495942168
469	0.1495942142
470	0.1495942061
471	0.1495941704
472	0.1495941518
473	0.1495941422
474	0.1495941273
475	0.1495941094
476	0.1495940614
477	0.1495940541
478	0.1495940278
479	0.1495940131
480	0.1495939911
481	0.1495939855
482	0.1495939751
483	0.1495939716
484	0.1495939686
485	0.1495939244
486	0.1495939197
487	0.1495939137
488	0.1495939008
489	0.1495938957
490	0.1495938861
491	0.1495938782
492	0.1495938772
493	0.1495938715
494	0.1495938635
495	0.1495938501
496	0.1495938395
497	0.1495937975
498	0.1495937928
499	0.1495937841
500	0.1495937815
501	0.14959378
502	0.1495937521
503	0.149593721
504	0.1495937013
